SpecCode,StockCode,Order,Family,Binomial,TreeName,Sex,Winfinity,LogeWinf,K,LogeK,Loo,Locality,Country,Environment,WaterTempMin,WaterTempMax,ReproGuild,ReproMode,Fertilization,TrophicLevel,FeedingType,T_Kelvin,Temp_New,PopGrowthReferences,Author,Year,TitleUnique,SourceUnique,,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,female,719,6.577861358,0.437999994,-0.825536383,25.79999924,"Doorndrai Dam, Transvaal, 28°46'E 24°17'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,female,1082,6.986566459,0.397000015,-0.923818961,28.60000038,"Loskop Dam, Transvaal, 29°21'E 25°25'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,female,1132,7.031741259,0.395000011,-0.928869487,31.29999924,Plover Cove Reservoir,Hong Kong,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,female,1725,7.452982329,0.246000007,-1.402423715,30.70000076,"Incomati-Limpopo, Transvaal",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,408,6.011267174,0.35800001,-1.027222264,21.60000038,Lake Sibaya,South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,675,6.514712691,0.370000005,-0.99425226,25.79999924,"Luphephe-Nwanedzi Dam, Venda",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,737,6.602587892,0.416999996,-0.874669067,27,"Luphephe-Nwanedzi Dam, Venda",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,770,6.646390515,0.684000015,-0.379797339,26,"Doorndrai Dam, Transvaal, 28°46'E 24°17'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,1259,7.138073034,0.412999988,-0.884307716,32,"Loskop Dam, Transvaal, 29°21'E 25°25'S",South Africa,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
3,3,Perciformes,Cichlidae,Oreochromis mossambicus,Oreochromis_mossambicus,male,1979,7.590346946,0.361999989,-1.016111099,37.59999847,Plover Cove Reservoir,Hong Kong,benthopelagic,17,35,bearers,dioecism,external,herbivore,browsing_substrate,299.15,38.79313697,115,"Moreau, J., C. Bambino and D. Pauly",1986,Indices of overall growth performance of 100 tilapia (Cichlidae) populations.,"p. 201-206. In J.L. Maclean, L.B. Dizon and L.V. Hosillos (eds.) The First Asian Fisheries Forum. 727 p. Asian Fisheries Society, Manila, Philippines.",,,,,
